,employee_id,name,email,designation,age,length_of_service,is_promoted
72,68082,Eva Moore,eva.moore@gmail.com,Sales & Marketing,41,12,0
73,51786,Tina Brown,tina_brown769@gmail.com,Sales & Marketing,32,6,0
74,77577,Isabella Thompson,isabella.thompson@gmail.com,Sales & Marketing,50,14,0
75,54782,Harry Moore,harry.moore@gmail.com,Sales & Marketing,38,2,1
76,52368,Paul Kelly,paul.kelly@gmail.com,Sales & Marketing,29,5,0
77,75103,Xander Brooks,xander.brooks@gmail.com,Sales & Marketing,35,3,0
78,7520,Karen Thompson,karen.thompson@gmail.com,Analytics,25,2,0
79,59147,Grace Moore,grace_moore103@gmail.com,Sales & Marketing,30,3,1
80,53092,Harry Morgan,harry.morgan@gmail.com,Technology,47,7,0
81,34564,Olivia Evans,olivia.evans@gmail.com,Operations,35,7,0
82,66013,Isabella Wilson,isabella.wilson@gmail.com,Sales & Marketing,25,2,0
83,77135,Frank White,frank.white@gmail.com,R&D,36,8,0
84,44575,Isabella Carter,isabella.carter@gmail.com,Legal,29,1,1
85,47498,David Evans,david.evans@gmail.com,Operations,42,11,1
86,20798,Bob Kelly,bob.kelly@gmail.com,HR,28,6,0
87,69094,Isabella Smith,isabella.smith@gmail.com,Sales & Marketing,39,9,0
88,22261,Grace Smith,grace.smith@gmail.com,Procurement,32,3,1
89,9589,Bob Johnson,bob.johnson@gmail.com,Sales & Marketing,31,1,0
90,62658,Zach Green,zach.green@gmail.com,Sales & Marketing,20,1,0
91,21628,Karen Davis,karen.davis@gmail.com,Analytics,34,8,0
92,68484,Victor Cooper,victor.cooper@gmail.com,Procurement,46,3,0
93,44523,Harry Phillips,harry.phillips@gmail.com,HR,47,7,0
94,35420,Xander Wilson,xander.wilson@gmail.com,Operations,44,13,0
95,43923,Liam Brown,liam_brown548@gmail.com,Analytics,31,4,0
96,64109,Karen Thompson,karen_thompson647@gmail.com,Technology,23,1,0
97,41983,Tina Johnson,tina_johnson353@gmail.com,Operations,33,5,0
98,21440,Olivia Thompson,olivia.thompson@gmail.com,Sales & Marketing,41,12,0
99,51256,Tina Brown,tina_brown520@gmail.com,Finance,60,17,0
100,66635,Jack Smith,jack.smith@gmail.com,Operations,31,4,1
101,16027,Catherine Wilson,catherine.wilson@gmail.com,Operations,37,11,0
102,46020,Alice Carter,alice.carter@gmail.com,Analytics,39,4,0
103,28509,Quincy Evans,quincy.evans@gmail.com,Sales & Marketing,40,8,0
104,33587,Yvonne Edwards,yvonne.edwards@gmail.com,Sales & Marketing,42,4,0
105,21387,Uma Davis,uma.davis@gmail.com,Operations,35,6,1
106,55927,Sam White,sam.white@gmail.com,Operations,41,6,0
107,60763,Noah Davis,noah.davis@gmail.com,Procurement,23,2,0
108,53167,Zach Edwards,zach.edwards@gmail.com,Sales & Marketing,31,4,0
109,32672,Victor Wilson,victor.wilson@gmail.com,Analytics,42,19,0
110,48785,Eva Walker,eva.walker@gmail.com,Sales & Marketing,29,2,0
111,51444,Noah Hill,noah.hill@gmail.com,HR,30,1,0
112,75778,Xander Carter,xander.carter@gmail.com,Operations,41,6,0
113,14141,David Taylor,david.taylor@gmail.com,Sales & Marketing,40,2,1
114,17894,Noah Moore,noah.moore@gmail.com,Sales & Marketing,34,5,0
115,54380,Yvonne Brown,yvonne.brown@gmail.com,Sales & Marketing,31,2,0
116,51892,Eva Green,eva.green@gmail.com,Technology,27,2,1
117,3625,Tina Edwards,tina.edwards@gmail.com,Procurement,30,2,0
118,38771,Wendy Cooper,wendy.cooper@gmail.com,Procurement,27,4,1
119,18959,Olivia Wood,olivia.wood@gmail.com,Technology,36,7,0
120,21137,Isabella Taylor,isabella.taylor@gmail.com,Technology,35,6,0
121,26097,Quincy Thompson,quincy.thompson@gmail.com,Sales & Marketing,34,7,1
122,38052,Noah Thompson,noah.thompson@gmail.com,Procurement,37,3,1
123,41746,Mia Thompson,mia.thompson@gmail.com,Operations,27,1,0
124,72744,Eva White,eva.white@gmail.com,Procurement,47,5,0
125,5461,Tina Green,tina.green@gmail.com,Analytics,28,1,0
126,15227,Tina Carter,tina.carter@gmail.com,Procurement,40,5,0
127,66874,Yvonne Edwards,yvonne_edwards784@gmail.com,Sales & Marketing,30,1,0
128,42068,Paul Morgan,paul.morgan@gmail.com,Operations,38,9,0
129,54825,Wendy Harris,wendy_harris553@gmail.com,Sales & Marketing,30,2,0
130,77709,Grace Smith,grace_smith376@gmail.com,Sales & Marketing,28,3,0
131,43712,Quincy Lee,quincy.lee@gmail.com,Procurement,28,4,0
132,74783,Isabella Harris,isabella.harris@gmail.com,Operations,35,7,0
133,19318,Xander Baker,xander.baker@gmail.com,Analytics,32,8,1
134,12096,Alice Moore,alice.moore@gmail.com,Sales & Marketing,36,8,0
135,5102,Yvonne Smith,yvonne.smith@gmail.com,Operations,24,1,0
136,29521,David Evans,david_evans909@gmail.com,Technology,27,4,0
137,36371,Quincy Morgan,quincy.morgan@gmail.com,Finance,34,7,0
138,51164,Olivia Smith,olivia.smith@gmail.com,Technology,31,4,0
139,17812,Tina Green,tina_green998@gmail.com,Technology,30,2,0
140,7606,Jack Wilson,jack.wilson@gmail.com,Technology,30,7,0
141,50593,Zach Baker,zach.baker@gmail.com,Finance,31,1,0
142,73735,Frank Taylor,frank.taylor@gmail.com,Analytics,30,3,0
143,29313,Harry Brooks,harry_brooks954@gmail.com,Finance,28,2,0
144,40262,Noah Brown,noah.brown@gmail.com,Technology,28,5,0
145,36904,Victor Martinez,victor.martinez@gmail.com,Sales & Marketing,29,2,0
146,62552,Isabella Green,isabella.green@gmail.com,Sales & Marketing,46,11,0
147,63285,Sam Wilson,sam.wilson@gmail.com,Technology,31,4,0
148,74203,Zach Lee,zach_lee352@gmail.com,Procurement,28,4,0
149,75344,Uma Green,uma_green596@gmail.com,Sales & Marketing,31,6,0
150,74018,Victor Baker,victor_baker693@gmail.com,HR,37,9,0
151,34985,Catherine Perez,catherine.perez@gmail.com,Technology,34,8,1
152,35930,Grace Morgan,grace.morgan@gmail.com,Procurement,25,3,1
153,6708,Alice Wood,alice_wood93@gmail.com,Operations,40,4,0
154,5515,Tina Perez,tina.perez@gmail.com,Operations,43,7,1
155,53373,Zach Smith,zach.smith@gmail.com,Operations,36,5,0
156,69316,Yvonne Brooks,yvonne.brooks@gmail.com,Legal,29,3,0
157,41009,Olivia Wilson,olivia.wilson@gmail.com,Finance,35,2,0
158,50622,Sam Carter,sam.carter@gmail.com,Analytics,34,2,0
159,30106,Isabella Hill,isabella.hill@gmail.com,Sales & Marketing,32,4,0
160,45157,Harry Morgan,harry_morgan162@gmail.com,HR,27,1,0
161,23523,Isabella Walker,isabella.walker@gmail.com,Technology,29,5,0
162,74349,Alice Edwards,alice_edwards354@gmail.com,Sales & Marketing,34,4,0
163,70543,Liam Green,liam.green@gmail.com,Procurement,37,7,0
164,42245,Olivia Cooper,olivia.cooper@gmail.com,Procurement,33,3,0
165,34405,Isabella Martinez,isabella.martinez@gmail.com,Procurement,33,4,0
166,4134,Bob Walker,bob.walker@gmail.com,Sales & Marketing,39,8,0
167,23599,Mia Davis,mia.davis@gmail.com,Technology,34,7,0
168,942,Grace Edwards,grace.edwards@gmail.com,Technology,32,6,0
169,5281,David Walker,david.walker@gmail.com,Sales & Marketing,34,6,0
170,197,Liam Baker,liam.baker@gmail.com,Finance,29,6,0
171,37574,Harry Carter,harry.carter@gmail.com,Sales & Marketing,28,2,0
172,26773,Frank White,frank_white176@gmail.com,Technology,28,5,0
173,70034,Sam Wood,sam.wood@gmail.com,Procurement,35,9,0
174,40565,Paul Martinez,paul.martinez@gmail.com,Technology,40,3,0
175,17193,Uma Perez,uma_perez172@gmail.com,Sales & Marketing,27,4,0
176,76550,Paul Smith,paul.smith@gmail.com,Procurement,26,3,0
177,53841,Jack White,jack.white@gmail.com,Operations,43,12,0
178,28314,Quincy Kelly,quincy_kelly688@gmail.com,Finance,23,1,0
179,30196,Zach Hill,zach.hill@gmail.com,Analytics,29,6,0
180,29757,Wendy White,wendy.white@gmail.com,Sales & Marketing,43,15,0
181,6073,Victor Moore,victor.moore@gmail.com,Sales & Marketing,27,4,0
182,9863,Tina Smith,tina.smith@gmail.com,Procurement,26,4,0
183,34306,David Brooks,david_brooks69@gmail.com,Procurement,31,5,0
184,34041,Sam Davis,sam.davis@gmail.com,Operations,40,11,0
185,21356,Quincy Thompson,quincy_thompson145@gmail.com,Operations,39,12,0
186,29540,Liam Green,liam_green459@gmail.com,Operations,30,6,0
187,51669,Isabella Perez,isabella.perez@gmail.com,Technology,47,4,0
188,33825,Jack Smith,jack_smith44@gmail.com,Sales & Marketing,34,7,1
189,6254,Frank Lee,frank.lee@gmail.com,Operations,33,9,0
190,11645,Karen Thompson,karen_thompson140@gmail.com,Sales & Marketing,41,7,0
191,3231,Olivia Wilson,olivia_wilson379@gmail.com,Technology,29,4,0
192,7030,Tina Kelly,tina.kelly@gmail.com,Analytics,32,4,0
193,54198,Sam Davis,sam_davis54@gmail.com,Procurement,47,9,0
194,62293,Wendy Kelly,wendy.kelly@gmail.com,Operations,35,3,0
195,25312,Bob Davis,bob.davis@gmail.com,Technology,27,2,0
196,75610,Tina Evans,tina.evans@gmail.com,Analytics,29,3,0
197,16518,Sam Moore,sam.moore@gmail.com,Sales & Marketing,36,9,0
198,42747,Victor Phillips,victor.phillips@gmail.com,Sales & Marketing,35,8,0
199,67980,Liam Taylor,liam.taylor@gmail.com,Procurement,34,2,0
200,53630,Catherine Baker,catherine.baker@gmail.com,Sales & Marketing,34,5,1
201,72423,Mia Baker,mia.baker@gmail.com,Operations,39,2,0
202,73022,Xander Green,xander.green@gmail.com,Sales & Marketing,26,2,0
203,63976,Karen Cooper,karen.cooper@gmail.com,Operations,30,4,0
204,60761,Xander Perez,xander.perez@gmail.com,Operations,31,2,0
205,57228,Frank Brown,frank.brown@gmail.com,HR,44,6,0
206,14912,Catherine Cooper,catherine.cooper@gmail.com,Sales & Marketing,38,4,0
207,22725,Rachel Green,rachel.green@gmail.com,Technology,40,3,0
208,18981,Jack Perez,jack_perez279@gmail.com,Legal,50,6,0
209,50845,Xander Thompson,xander.thompson@gmail.com,Procurement,44,12,0
210,11800,Xander Edwards,xander.edwards@gmail.com,Procurement,23,2,0
211,16351,Eva Wood,eva.wood@gmail.com,Sales & Marketing,36,2,0
212,75881,Karen Edwards,karen.edwards@gmail.com,Analytics,25,4,0
213,73200,Victor Davis,victor_davis852@gmail.com,Operations,34,4,0
214,17833,Harry Wood,harry.wood@gmail.com,Analytics,28,1,0
215,58338,Uma Thompson,uma.thompson@gmail.com,Analytics,30,6,0
216,40187,Zach Smith,zach_smith537@gmail.com,Procurement,35,8,0
217,70193,Frank Hill,frank.hill@gmail.com,Analytics,33,8,0
218,27188,Olivia Brooks,olivia.brooks@gmail.com,Analytics,30,4,0
219,24291,Catherine Perez,catherine_perez585@gmail.com,Analytics,27,3,0
220,43676,Catherine Harris,catherine.harris@gmail.com,Procurement,29,1,0
221,52231,Wendy Harris,wendy_harris986@gmail.com,Operations,43,3,0
222,34241,Rachel Morgan,rachel.morgan@gmail.com,Analytics,28,5,0
223,76661,Zach Wood,zach_wood104@gmail.com,Procurement,31,3,0
224,50595,Olivia Harris,olivia.harris@gmail.com,Operations,43,12,0
225,67673,Bob Brooks,bob.brooks@gmail.com,Operations,35,9,0
226,10547,Grace Davis,grace.davis@gmail.com,Sales & Marketing,35,9,0
227,73405,Eva Taylor,eva.taylor@gmail.com,Operations,50,8,0
228,73114,Xander Phillips,xander.phillips@gmail.com,HR,26,3,0
229,22572,Catherine Evans,catherine.evans@gmail.com,Sales & Marketing,32,5,0
230,62923,Frank Edwards,frank.edwards@gmail.com,Operations,38,2,1
231,57235,Frank Carter,frank.carter@gmail.com,Sales & Marketing,22,2,0
232,22300,David Edwards,david.edwards@gmail.com,HR,28,1,0
233,24090,Alice Brown,alice.brown@gmail.com,Procurement,37,9,0
234,57298,Bob Davis,bob_davis389@gmail.com,Analytics,54,9,0
235,25629,Noah Harris,noah.harris@gmail.com,Sales & Marketing,36,8,0
236,71339,Jack Cooper,jack.cooper@gmail.com,Technology,35,8,0
237,54714,Tina Kelly,tina_kelly229@gmail.com,Analytics,39,4,0
238,7390,Catherine Evans,catherine_evans362@gmail.com,Operations,31,4,0
239,9563,Uma Morgan,uma_morgan979@gmail.com,Operations,38,7,0
240,39107,Alice Perez,alice.perez@gmail.com,Sales & Marketing,28,2,0
241,19445,Noah Johnson,noah.johnson@gmail.com,Sales & Marketing,26,3,0
242,42636,Olivia Carter,olivia.carter@gmail.com,Sales & Marketing,29,1,0
243,32557,Isabella Baker,isabella.baker@gmail.com,Analytics,30,4,0
244,43396,Bob White,bob.white@gmail.com,Operations,37,4,1
245,24414,Xander Johnson,xander.johnson@gmail.com,R&D,25,1,0
246,63237,Liam Harris,liam_harris830@gmail.com,Technology,26,2,0
247,32838,Bob Brooks,bob_brooks836@gmail.com,Technology,31,4,0
248,23003,Mia White,mia.white@gmail.com,Technology,38,7,0
249,45198,Wendy Hill,wendy.hill@gmail.com,Sales & Marketing,39,9,0
250,40376,Alice Brooks,alice.brooks@gmail.com,Sales & Marketing,30,4,0
251,60176,Xander Edwards,xander_edwards887@gmail.com,Procurement,34,8,0
252,67652,Zach Carter,zach.carter@gmail.com,Procurement,33,5,0
253,15476,Eva Davis,eva.davis@gmail.com,Technology,29,3,0
254,55811,Wendy Moore,wendy.moore@gmail.com,Operations,28,2,0
255,15737,Wendy Taylor,wendy.taylor@gmail.com,Finance,24,1,0
256,10058,Alice Wilson,alice_wilson77@gmail.com,Analytics,26,2,0
257,73435,Isabella Wilson,isabella_wilson303@gmail.com,Legal,34,4,0
258,51255,Noah Thompson,noah_thompson495@gmail.com,Sales & Marketing,35,7,0
259,70060,Mia Green,mia.green@gmail.com,Technology,43,14,0
260,51473,Liam Evans,liam_evans967@gmail.com,Sales & Marketing,34,8,0
261,71904,Grace Kelly,grace.kelly@gmail.com,Technology,38,10,0
262,76080,Yvonne Baker,yvonne.baker@gmail.com,Operations,34,5,0
263,33357,Xander Wood,xander.wood@gmail.com,Operations,41,4,0
264,53502,Paul Johnson,paul.johnson@gmail.com,Finance,29,4,0
265,26409,Karen Thompson,karen_thompson223@gmail.com,Operations,33,3,0
266,59608,Rachel Davis,rachel.davis@gmail.com,Sales & Marketing,41,5,0
267,28687,Liam White,liam.white@gmail.com,Operations,38,11,0
268,34312,Sam White,sam_white474@gmail.com,Procurement,54,23,0
269,11438,Yvonne Thompson,yvonne.thompson@gmail.com,Sales & Marketing,34,8,0
270,11794,Jack Johnson,jack.johnson@gmail.com,R&D,26,3,0
271,48756,Paul Wilson,paul.wilson@gmail.com,Operations,35,3,0
272,35873,David Johnson,david.johnson@gmail.com,Legal,28,1,0
273,13970,Bob Evans,bob.evans@gmail.com,Operations,36,4,0
274,49868,Paul Lee,paul.lee@gmail.com,Technology,45,15,0
275,25261,Liam Hill,liam.hill@gmail.com,Procurement,38,7,0
276,44536,David Taylor,david_taylor658@gmail.com,Sales & Marketing,26,4,0
277,55550,Wendy Morgan,wendy.morgan@gmail.com,Analytics,31,4,0
278,27989,Isabella Baker,isabella_baker334@gmail.com,Analytics,32,7,0
279,12598,Wendy Hill,wendy_hill403@gmail.com,Analytics,29,4,0
280,32877,Alice Wilson,alice_wilson859@gmail.com,Sales & Marketing,40,12,0
281,30682,Quincy Baker,quincy.baker@gmail.com,Technology,29,6,0
282,1829,Rachel Kelly,rachel.kelly@gmail.com,Analytics,31,7,0
283,2177,Sam Cooper,sam.cooper@gmail.com,Finance,32,6,0
284,51771,Yvonne Wilson,yvonne.wilson@gmail.com,Operations,42,11,0
285,26026,Zach Hill,zach_hill473@gmail.com,Procurement,30,3,0
286,64977,Uma Edwards,uma_edwards921@gmail.com,Procurement,24,2,0
287,44585,Alice Hill,alice.hill@gmail.com,Sales & Marketing,35,7,0
288,43562,Victor Taylor,victor.taylor@gmail.com,Technology,32,3,0
289,56287,Eva Hill,eva.hill@gmail.com,HR,22,2,0
290,19100,Eva Walker,eva_walker64@gmail.com,Sales & Marketing,44,14,0
291,58203,Bob Thompson,bob.thompson@gmail.com,Operations,39,9,0
292,12504,Uma Morgan,uma_morgan588@gmail.com,Technology,46,17,0
293,49126,Grace Wilson,grace_wilson311@gmail.com,Technology,29,5,0
294,66469,Harry Wilson,harry.wilson@gmail.com,Finance,26,3,0
295,53350,Alice Hill,alice_hill782@gmail.com,Operations,35,5,0
296,22031,Quincy Kelly,quincy_kelly237@gmail.com,Procurement,29,2,1
297,36185,Grace Carter,grace.carter@gmail.com,Technology,30,9,0
298,58415,Alice Baker,alice.baker@gmail.com,Sales & Marketing,45,5,0
299,71763,Alice Wilson,alice_wilson478@gmail.com,Sales & Marketing,30,6,0
300,62742,Victor White,victor.white@gmail.com,Finance,28,4,0
301,33619,Tina Morgan,tina.morgan@gmail.com,Technology,46,10,0
302,41212,Rachel Cooper,rachel.cooper@gmail.com,Procurement,27,2,0
303,40204,Rachel Davis,rachel_davis408@gmail.com,Sales & Marketing,34,5,0
304,59131,Wendy Baker,wendy.baker@gmail.com,Analytics,32,3,0
305,12559,Jack Perez,jack_perez89@gmail.com,Operations,35,10,0
306,30433,Jack Brooks,jack.brooks@gmail.com,Procurement,36,3,0
307,13150,Rachel Hill,rachel.hill@gmail.com,Procurement,58,13,0
308,9616,Yvonne Lee,yvonne.lee@gmail.com,Finance,29,4,0
309,26563,Liam Taylor,liam_taylor859@gmail.com,Procurement,33,3,0
310,38331,Tina Hill,tina.hill@gmail.com,Operations,32,6,0
311,18651,David Davis,david.davis@gmail.com,Legal,25,2,0
312,45004,Mia Martinez,mia.martinez@gmail.com,Procurement,41,9,0
313,11892,Mia Brown,mia.brown@gmail.com,Procurement,25,1,0
314,16859,Grace Baker,grace.baker@gmail.com,Analytics,50,7,0
315,26107,Paul White,paul.white@gmail.com,Sales & Marketing,30,7,0
316,22511,Catherine Walker,catherine.walker@gmail.com,Technology,28,1,0
317,22865,Liam Davis,liam.davis@gmail.com,Analytics,40,5,1
318,67467,Zach Brown,zach.brown@gmail.com,Finance,26,2,0
319,2268,Rachel Davis,rachel_davis175@gmail.com,Technology,35,8,0
320,33517,Zach Brooks,zach.brooks@gmail.com,Sales & Marketing,37,7,0
321,27605,Noah Davis,noah_davis434@gmail.com,Operations,34,3,1
322,69349,Alice Kelly,alice.kelly@gmail.com,Operations,25,2,0
323,45496,Tina Baker,tina.baker@gmail.com,Sales & Marketing,22,2,1
324,66262,Rachel Kelly,rachel_kelly980@gmail.com,Procurement,26,2,1
325,55425,Eva Brooks,eva.brooks@gmail.com,Technology,31,7,0
326,29543,Quincy Thompson,quincy_thompson841@gmail.com,Finance,31,3,0
327,36547,Rachel Evans,rachel_evans707@gmail.com,Analytics,32,6,0
328,11205,Sam Wilson,sam_wilson285@gmail.com,Sales & Marketing,36,8,0
329,469,Rachel Johnson,rachel.johnson@gmail.com,Technology,57,19,0
330,44703,Bob Walker,bob_walker757@gmail.com,Sales & Marketing,42,9,0
331,14847,Sam Davis,sam_davis8@gmail.com,Sales & Marketing,28,3,0
332,43689,Bob Kelly,bob_kelly979@gmail.com,Analytics,33,3,0
333,72157,Mia Moore,mia.moore@gmail.com,Analytics,41,3,0
334,74579,Victor Edwards,victor.edwards@gmail.com,Operations,26,1,0
335,51544,Quincy Moore,quincy.moore@gmail.com,Procurement,32,5,1
336,5128,Eva Wilson,eva.wilson@gmail.com,Operations,48,8,0
337,37952,Liam Taylor,liam_taylor584@gmail.com,Operations,41,7,0
338,39914,Frank Brooks,frank.brooks@gmail.com,Technology,31,4,0
339,74332,Bob Wood,bob.wood@gmail.com,Sales & Marketing,37,5,0
340,42886,Harry Martinez,harry.martinez@gmail.com,Analytics,30,4,0
341,53988,Harry Green,harry.green@gmail.com,Finance,26,2,0
342,49775,Mia Cooper,mia.cooper@gmail.com,Sales & Marketing,44,11,0
343,66965,Alice Lee,alice.lee@gmail.com,Operations,44,10,0
344,70197,Uma Wilson,uma.wilson@gmail.com,R&D,30,2,1
345,66210,Xander White,xander.white@gmail.com,Operations,24,2,0
346,71008,Isabella Cooper,isabella.cooper@gmail.com,Sales & Marketing,40,10,0
347,52132,Xander Kelly,xander.kelly@gmail.com,Technology,32,5,0
348,72604,Uma Phillips,uma.phillips@gmail.com,Sales & Marketing,40,7,0
349,66802,Frank Davis,frank.davis@gmail.com,Technology,24,3,0
350,55730,Paul White,paul_white886@gmail.com,Sales & Marketing,45,15,1
351,8284,David Wood,david.wood@gmail.com,Sales & Marketing,34,5,1
352,69715,Jack Smith,jack_smith668@gmail.com,Operations,58,18,0
353,36117,Eva Hill,eva_hill799@gmail.com,Technology,35,7,0
354,56139,Grace Baker,grace_baker823@gmail.com,Sales & Marketing,24,2,0
355,15924,Rachel Thompson,rachel_thompson113@gmail.com,Sales & Marketing,35,8,0
356,41776,Sam Martinez,sam.martinez@gmail.com,Technology,31,2,0
357,25949,Olivia Harris,olivia_harris177@gmail.com,Operations,33,5,0
358,51509,Zach Moore,zach.moore@gmail.com,HR,44,14,0
359,36936,Jack Davis,jack.davis@gmail.com,Sales & Marketing,24,2,1
360,25572,Harry Wood,harry_wood135@gmail.com,Procurement,34,10,0
361,11337,Eva Brooks,eva_brooks501@gmail.com,Sales & Marketing,37,2,0
362,34965,Quincy Lee,quincy_lee380@gmail.com,Operations,31,4,0
363,38318,Tina Edwards,tina_edwards888@gmail.com,Procurement,32,8,0
364,60969,Yvonne Brooks,yvonne_brooks917@gmail.com,Operations,33,7,0
365,72765,Eva Smith,eva.smith@gmail.com,Operations,53,11,0
366,16951,Rachel Brooks,rachel.brooks@gmail.com,Operations,37,4,0
367,54416,Isabella Kelly,isabella.kelly@gmail.com,Sales & Marketing,30,5,0
368,4585,Liam Smith,liam.smith@gmail.com,Analytics,35,3,0
369,64140,David Harris,david.harris@gmail.com,Technology,32,4,0
370,35746,Rachel Thompson,rachel_thompson970@gmail.com,Operations,45,9,0
371,6587,Frank Johnson,frank.johnson@gmail.com,Procurement,29,1,0
372,1901,Frank Harris,frank.harris@gmail.com,Sales & Marketing,31,4,0
373,56849,Paul Perez,paul.perez@gmail.com,Technology,34,8,0
374,56233,Yvonne Lee,yvonne_lee697@gmail.com,Analytics,24,1,0
375,15844,Mia Wilson,mia.wilson@gmail.com,Operations,31,7,0
